Rola (tor);SZBI?;Liczba procesów;Kody procesów
CAB;tak;1;W4.11
Dostawca / serwis;;1;W4.02
Dostawca cateringu;;1;W5.08
Dostawca usługi;;1;W5.06
Dyspozytor;;1;G10.01
Farmaceuta;;1;G5.04
Farmaceuta kliniczny;;1;G5.06
GUS / MZ;;1;G9.03
Inspektor Ochrony Radiologicznej;;1;G2.06
Izba Przyjęć;;1;G1.01
Jednostka medycyny pracy;;1;W2.12
Kandydat / Pracownik;;1;W2.03
Kierownicy komórek medycznych;;1;W2.14
Kierownik Apteki;;1;G5.01
Kierownik Działu Farmacji;;1;G5.08
Kierownik komórki;;1;W2.04
Komisja Socjalna;;1;W2.08
Komisja inwentaryzacyjna;;1;W1.08
Komisja przetargowa;;1;W3.02
Komitet Antybiotykowy;;1;G7.03
Komitet Terapeutyczny;;1;G5.02
Komitet ds. Zakażeń;;1;G7.01
Komórka;;1;W7.04
Komórka przekazująca;;1;W6.04
Komórka przetwarzająca;;1;Z4.03
Komórka zamawiająca;;1;W1.05
Komórki / Dyrektorzy;;1;W1.02
Komórki przetwarzające;;1;Z4.01
Koordynator;;1;G4.04
Koordynator BC;tak;1;Z3.03
Koordynator opieki;;1;G4.03
Koordynator ryzyka;;1;Z3.01
Laboratorium zewn.;;1;G2.05
Lekarz konsultujący;;1;G3.09
Lekarz pediatra-pulmonolog;;1;G3.05
Lekarz pulmonolog;;1;G3.04
Lekarz reumatolog;;1;G3.06
Lekarz specjalista;;1;G3.13
Lekarze;;1;G7.03
Magazyn;;1;W3.06
Medycyna pracy;;1;G7.07
NFZ (system);;1;G9.01
NFZ (zewn.);;1;Z6.01
Odbiorca (zewn.);;1;G7.05
Odbiorca odpadów (zewn.);;1;W5.09
Oddział / Kuchnia;;1;G6.05
Oddział docelowy;;1;G1.03
Oddział kierujący;;1;G3.10
Oddział przyjmujący;;1;G3.10
Oddziały;;1;G7.01
Organ (zewn.);;1;Z6.02
Organ KSC (CSIRT);;1;Z4.05
Organ obronny (zewn.);;1;W7.09
Pacjenci;;1;W9.05
Pacjent / RPP;;1;Z4.10
Pacjent / Skarżący;;1;Z4.07
Pacjent / Użytkownik;;1;W4.10
Partner naukowy;;1;W8.06
Personel / DHiE;;1;G7.05
Personel / Pacjenci;;1;W9.02
Personel medyczny;;1;G8.01
Personel sterylizacji;;1;G7.04
Pełnomocnik ds. OIN;;1;Z4.06
Pełnomocnik ds. ZSZ;;1;Z2.09
Pielęgniarka medycyny szkolnej;;1;G3.18
Pielęgniarka triażu;;1;G1.02
Pielęgniarki;;1;G6.02
Podmiot docelowy;;1;G1.04
Podmiot przejmujący;;1;G4.03
Poszkodowany / Kierownik;;1;W7.02
Pracownia;;1;G2.06
Pracownicy / Eksperci;;1;Z5.04
Przełożony;;1;W2.07
Przełożony / DPP;;1;W2.13
Punkt Przyjęć Planowych;;1;G1.05
Punkt pobrań;;1;G10.02
SOC (zewn.);;1;W4.13
System EDM;;1;G8.05
System EDM / P1;;1;G8.01
System P1 / ZUS;;1;G3.15
Służba ochrony;;1;W5.11
US / GUS;;1;W1.07
Uprawniony specjalista;;1;W5.02
Wnioskodawcy;tak;1;W4.11
Wnioskodawcy / Przełożony;tak;1;W4.04
Wykonawca;;1;W8.02
Właściciele ryzyka;tak;1;Z3.02
Zespół ds. bezpieczeństwa;;1;Z3.05
Zespół interdyscyplinarny;;1;G3.23
Zespół powypadkowy;;1;W7.02
Zespół reagowania;;1;Z3.04
Zespół reagowania IR;tak;1;W4.07
Zgłaszający;;1;Z4.04
Zlecający;;1;G10.01
